iter	Logloss
0	0.6759246731
1	0.6600340676
2	0.6460581105
3	0.6325340208
4	0.6200498972
5	0.6082526882
6	0.5973562998
7	0.5875357357
8	0.5789167897
9	0.570883104
10	0.5632611932
11	0.5562648871
12	0.5492640339
13	0.5427785707
14	0.5367583571
15	0.5314744968
16	0.5263794188
17	0.5222943079
18	0.518474182
19	0.5145233946
20	0.5113267982
21	0.5077196589
22	0.5043873236
23	0.5013804059
24	0.4988211023
25	0.4964029926
26	0.494155633
27	0.4920875305
28	0.4899725337
29	0.4881521774
30	0.4864679033
31	0.484967666
32	0.4834567627
33	0.4823468388
34	0.4809604095
35	0.4796884214
36	0.4786391476
37	0.4774726439
38	0.4763470148
39	0.4754161571
40	0.474833857
41	0.4740706482
42	0.4733670671
43	0.4725330763
44	0.4720826889
45	0.4715083997
46	0.4708964021
47	0.4704379923
48	0.4700278119
49	0.4697072428
50	0.4693820694
51	0.4689145654
52	0.4686838632
53	0.468116532
54	0.4677293887
55	0.4673479712
56	0.4670084849
57	0.4666915665
58	0.4664881167
59	0.4662471224
60	0.4660531941
61	0.4658838362
62	0.4658174946
63	0.4656807602
64	0.4654958422
65	0.4652106126
66	0.4649941736
67	0.4647759989
68	0.4646605964
69	0.4644368332
70	0.4642479021
71	0.4641059796
72	0.4638883543
73	0.4637543588
74	0.4636263372
75	0.4635296572
76	0.4633320133
77	0.4631834571
78	0.4630809978
79	0.462910507
80	0.4628139873
81	0.4626305913
82	0.4624502509
83	0.46230311
84	0.462176702
85	0.4620699969
86	0.4620065011
87	0.4618536152
88	0.4617223282
89	0.4615497622
90	0.4614302054
91	0.4612855173
92	0.4611190815
93	0.4609901939
94	0.4609093145
95	0.4607899599
96	0.4606111835
97	0.4605154954
98	0.4603880421
99	0.4603036531
100	0.4602369682
101	0.4600969073
102	0.4600298791
103	0.4599260046
104	0.4598269099
105	0.4596635297
106	0.459549283
107	0.4593940281
108	0.4592468147
109	0.4591554715
110	0.4590331338
111	0.4589266462
112	0.4588099199
113	0.4586468067
114	0.4584853225
115	0.4584123242
116	0.4583162469
117	0.4582432143
118	0.4581489719
119	0.4580187797
120	0.4580115776
121	0.4578495478
122	0.4577489997
123	0.4576421192
124	0.4575519662
125	0.4574988196
126	0.4573827533
127	0.4572529044
128	0.4570990915
129	0.4569525495
130	0.4568266793
131	0.4566454006
132	0.4565898469
133	0.4565291854
134	0.4564429082
135	0.4563554102
136	0.4562593901
137	0.456075525
138	0.4559243824
139	0.4557896583
140	0.4557125745
141	0.4556591647
142	0.4555761452
143	0.4555425834
144	0.4553783488
145	0.4552779265
146	0.4552053898
147	0.4550520805
148	0.4549536229
149	0.4548166557
150	0.4547770362
151	0.4546794712
152	0.454618535
153	0.4545810059
154	0.4544395717
155	0.4544115909
156	0.4542920264
157	0.4542342603
158	0.4541746898
159	0.4540441657
160	0.4539460361
161	0.453872561
162	0.4537521535
163	0.4536635569
164	0.4535904557
165	0.4535423331
166	0.4534629185
167	0.4533949366
168	0.4532688757
169	0.4531829455
170	0.4530876045
171	0.4529616238
172	0.4528761857
173	0.452761691
174	0.4527011631
175	0.452585585
176	0.4525529158
177	0.4524144915
178	0.4522974181
179	0.4521604662
180	0.4520990799
181	0.4520549857
182	0.4519706806
183	0.4518352241
184	0.4517225338
185	0.4516477731
186	0.4515508414
187	0.4515048093
188	0.4513577866
189	0.4513502754
190	0.4513494018
191	0.4512331448
192	0.4510705352
193	0.4509796497
194	0.4509303904
195	0.4508281752
196	0.4507457813
197	0.4506053161
198	0.4504319338
199	0.4503712303
200	0.4502736882
201	0.450144751
202	0.4500676024
203	0.4500095196
204	0.4499003274
205	0.4498448195
206	0.4497697499
207	0.4497257014
208	0.4496739625
209	0.4495842558
210	0.4495475316
211	0.4495401998
212	0.4494307634
213	0.4493782463
214	0.4493308752
215	0.4492389751
216	0.4491753228
217	0.449034789
218	0.4489750506
219	0.4489059434
220	0.4487836285
221	0.4486917665
222	0.4485746435
223	0.4484923412
224	0.4484183968
225	0.4482749828
226	0.4481795922
227	0.4480837858
228	0.4479824404
229	0.4479201653
230	0.4478043546
231	0.4476888757
232	0.4475864393
233	0.4474975299
234	0.4474115158
235	0.4473446897
236	0.4472274943
237	0.4471659439
238	0.4470754895
239	0.4469640161
240	0.4468327711
241	0.4467627177
242	0.4466659004
243	0.4465797681
244	0.4465001895
245	0.4463966239
246	0.4463850272
247	0.4462738704
248	0.4462133577
249	0.4461477065
250	0.4460306865
251	0.4459638604
252	0.4458760535
253	0.4457768329
254	0.4456746521
255	0.4455778615
256	0.4454548753
257	0.4453436689
258	0.4452616335
259	0.445156977
260	0.4450404605
261	0.4449528138
262	0.444845609
263	0.4447247743
264	0.4446485907
265	0.4445706524
266	0.4444786035
267	0.4443889006
268	0.4442923236
269	0.4442278245
270	0.4441079511
271	0.4440099741
272	0.4439137595
273	0.4438720151
274	0.4437778338
275	0.4436622977
276	0.443500184
277	0.4434179885
278	0.4433190464
279	0.4432123947
280	0.4431531675
281	0.4430569224
282	0.4429664719
283	0.4428649739
284	0.4427777964
285	0.4427087578
286	0.4426438619
287	0.442580225
288	0.4424368834
289	0.4423139125
290	0.4421980521
291	0.4421461149
292	0.4420755618
293	0.4419605674
294	0.4418781926
295	0.4418082766
296	0.4417189666
297	0.441606818
298	0.4414847397
299	0.4414332602
300	0.4413179377
301	0.4412209526
302	0.4411628278
303	0.4410538263
304	0.4409854629
305	0.4408684734
306	0.4407801362
307	0.4406842726
308	0.4406045795
309	0.4405030968
310	0.4404096212
311	0.4402943063
312	0.4402124312
313	0.4401461545
314	0.4400513895
315	0.4399539046
316	0.4398978818
317	0.4397967271
318	0.4397142836
319	0.4396289638
320	0.4395610239
321	0.4394845161
322	0.4394081952
323	0.4393507838
324	0.4392902329
325	0.4392026396
326	0.4390967776
327	0.4389886802
328	0.4389180623
329	0.4388059404
330	0.4386953443
331	0.4386019221
332	0.4385093658
333	0.4384204526
334	0.4383566325
335	0.43826968
336	0.4382079161
337	0.4381199985
338	0.4380034133
339	0.4379107731
340	0.4378138299
341	0.4377496856
342	0.4376586819
343	0.4375683229
344	0.4374670004
345	0.4373725062
346	0.4372876824
347	0.4371968656
348	0.4371320346
349	0.4370262832
350	0.4369296223
351	0.4368714022
352	0.4367972328
353	0.4367095708
354	0.43664313
355	0.4365872178
356	0.4365042708
357	0.4364210644
358	0.4363363206
359	0.4361792652
360	0.4360787133
361	0.4360134208
362	0.4359581647
363	0.4358609201
364	0.4357761192
365	0.435686977
366	0.435611976
367	0.435473071
368	0.4353993213
369	0.4353026146
370	0.4352306272
371	0.4351429309
372	0.4350875031
373	0.4349998182
374	0.4349326565
375	0.4348553399
376	0.4347752654
377	0.4346745799
378	0.4346060067
379	0.4345099981
380	0.434438747
381	0.4343483384
382	0.4342594481
383	0.4341617877
384	0.4341114907
385	0.434046614
386	0.4339671841
387	0.4338975886
388	0.4338315483
389	0.4337219708
390	0.4336387033
391	0.4335580528
392	0.4334575428
393	0.4333925135
394	0.4332697905
395	0.4331830821
396	0.4330707809
397	0.4330211706
398	0.4329055582
399	0.4328272232
400	0.4327233563
401	0.4326785563
402	0.4326162202
403	0.432540132
404	0.4324508869
405	0.4323849763
406	0.4322928053
407	0.4322212795
408	0.4321620867
409	0.4320491599
410	0.4319781605
411	0.4318635208
412	0.4317984305
413	0.4317179592
414	0.4316142372
415	0.4315035039
416	0.4314270724
417	0.4313605934
418	0.4312932524
419	0.4311794749
420	0.4310749022
421	0.4310106892
422	0.4309688152
423	0.4308990289
424	0.4307929342
425	0.4307334896
426	0.4306808199
427	0.4306130325
428	0.4305462103
429	0.4304551455
430	0.4303866486
431	0.4302890607
432	0.4302145213
433	0.4301339432
434	0.4300244572
435	0.4299744579
436	0.4299001092
437	0.4298464171
438	0.4297679791
439	0.4297132495
440	0.4295982627
441	0.4295447004
442	0.4294323267
443	0.4293354598
444	0.4292550419
445	0.4291167282
446	0.428997343
447	0.4289162194
448	0.4288383879
449	0.4287420856
450	0.4286429604
451	0.4285787092
452	0.4285211872
453	0.4284507639
454	0.4283519667
455	0.4282518268
456	0.4281538269
457	0.4280868597
458	0.4280286434
459	0.427950564
460	0.4278797248
461	0.4278355886
462	0.4277477397
463	0.4276642624
464	0.4275776342
465	0.427504922
466	0.4274405183
467	0.4273692214
468	0.4273194318
469	0.4272327883
470	0.4271737328
471	0.4270893552
472	0.4270162082
473	0.4269671968
474	0.4268993484
475	0.4267998226
476	0.4267350756
477	0.4266694626
478	0.4265883962
479	0.4265073985
480	0.4263898673
481	0.4263090146
482	0.4262156801
483	0.4261051451
484	0.4260238422
485	0.4259544946
486	0.4258750838
487	0.425823322
488	0.4257465204
489	0.4256887123
490	0.4256289587
491	0.4255583294
492	0.4254765382
493	0.4253726484
494	0.4253176365
495	0.425210695
496	0.4251541991
497	0.4250977033
498	0.4250206309
499	0.4249361732
500	0.4248882338
501	0.4248065265
502	0.4247143899
503	0.4246673202
504	0.4245822178
505	0.4245314364
506	0.4244803575
507	0.4244182387
508	0.4243438481
509	0.424277415
510	0.4242338777
511	0.4241559241
512	0.4240928403
513	0.4240368594
514	0.4239824502
515	0.4238980803
516	0.4237896128
517	0.4237037018
518	0.4236205297
519	0.4235373881
520	0.4234672318
521	0.4234177893
522	0.4233361469
523	0.4232693132
524	0.4231876556
525	0.4230993222
526	0.4230462176
527	0.4229324363
528	0.4228517361
529	0.4227364747
530	0.4226613058
531	0.4225468989
532	0.422415032
533	0.4223188556
534	0.4222511559
535	0.422209465
536	0.4221378858
537	0.4220518908
538	0.4220061334
539	0.4219550926
540	0.4218952398
541	0.4218128192
542	0.4217230514
543	0.4216261197
544	0.4215385645
545	0.4214776855
546	0.4214167875
547	0.4213254939
548	0.4212311867
549	0.421152062
550	0.4211124729
551	0.4210452844
552	0.4209807701
553	0.4209004171
554	0.4208103594
555	0.420758426
556	0.4206830473
557	0.4206275509
558	0.4205208077
559	0.4204650596
560	0.4203870984
561	0.4203324794
562	0.420267923
563	0.4201955199
564	0.4201137745
565	0.4200424432
566	0.4199865158
567	0.4199164281
568	0.4198363269
569	0.4197440071
570	0.4196185146
571	0.419527118
572	0.4194363622
573	0.4193533504
574	0.4192626099
575	0.4191678067
576	0.4190682199
577	0.4190149399
578	0.418968534
579	0.4188615733
580	0.418763665
581	0.4187102171
582	0.4186439938
583	0.418553135
584	0.4184850463
585	0.4183890377
586	0.4182963059
587	0.418227748
588	0.4181529835
589	0.4180846697
590	0.4180087036
591	0.4179396154
592	0.4178539942
593	0.4178101022
594	0.4177382598
595	0.4176773198
596	0.417604333
597	0.4175476655
598	0.4174990661
599	0.4174206204
600	0.4173587305
601	0.4173016015
602	0.4172293242
603	0.4171331744
604	0.4170925707
605	0.4170361664
606	0.4169650106
607	0.4169047497
608	0.4168357301
609	0.4167738517
610	0.416737879
611	0.4166898289
612	0.4165960214
613	0.4165182853
614	0.4164621747
615	0.416391656
616	0.4163142708
617	0.4162295652
618	0.4161530689
619	0.4161115534
620	0.416058796
621	0.4160223731
622	0.4159867819
623	0.4159184833
624	0.4158857569
625	0.4158210824
626	0.415759574
627	0.4156754749
628	0.4156132112
629	0.4155178893
630	0.4154544812
631	0.4153420922
632	0.4152767043
633	0.4152245496
634	0.4151390696
635	0.4151062097
636	0.4150267684
637	0.4149717107
638	0.4148743746
639	0.4148260956
640	0.4147614249
641	0.4147183568
642	0.4146359781
643	0.4145664474
644	0.4144869031
645	0.4144353855
646	0.4143465638
647	0.4142821372
648	0.4142181416
649	0.4141499842
650	0.4140943581
651	0.4140394606
652	0.4139878286
653	0.4139126941
